ls6500: Output directed to terminal and Log/Pre-irrad_5_141031_201411051643_226973.log
Created Figures/Pre-irrad_5_141031/
initialize ls6500
dataDir /Users/djaffe/work/GIT/LINDSEY/TechMaturation2014/LS6500/Pre-irrad_5_141031/ 
dataSubDir Pre-irrad_5_141031/
initialize spreadsheetReader
ls6500.Main: pickMode put
ls6500.processHeader: columnIDs ['TrayID', 'Position01', 'Position02', 'Position03', 'Position04', 'Position05', 'Position06', 'Position07', 'Position08', 'Position09', 'Position10', 'Position11', 'Position12']
vial#   sampleName     position check of sample name Number of `no vial` slots to this slot
    0      STD_3_H S1_Position01 STD_3_H 0
       S6_Position07       1000_3R34 ['Pre-irrad_5_141031/MeasurementNo00067.xls', 'Pre-irrad_5_141031/MeasurementNo00260.xls']
       S6_Position08       1002_3R35 ['Pre-irrad_5_141031/MeasurementNo00068.xls', 'Pre-irrad_5_141031/MeasurementNo00261.xls']
       S6_Position09       1000_4R34 ['Pre-irrad_5_141031/MeasurementNo00069.xls', 'Pre-irrad_5_141031/MeasurementNo00262.xls']
       S6_Position10       1002_4R35 ['Pre-irrad_5_141031/MeasurementNo00070.xls', 'Pre-irrad_5_141031/MeasurementNo00263.xls']
       S6_Position11       0050_FPMT ['Pre-irrad_5_141031/MeasurementNo00071.xls', 'Pre-irrad_5_141031/MeasurementNo00264.xls']
       S6_Position12       0050_RPMT ['Pre-irrad_5_141031/MeasurementNo00072.xls', 'Pre-irrad_5_141031/MeasurementNo00265.xls']
       S7_Position01       0050_1F11 ['Pre-irrad_5_141031/MeasurementNo00073.xls', 'Pre-irrad_5_141031/MeasurementNo00266.xls']
       S7_Position02       0052_1F12 ['Pre-irrad_5_141031/MeasurementNo00074.xls', 'Pre-irrad_5_141031/MeasurementNo00267.xls']
       S7_Position03       0050_2F11 ['Pre-irrad_5_141031/MeasurementNo00075.xls', 'Pre-irrad_5_141031/MeasurementNo00268.xls']
       S7_Position04       0052_2F12 ['Pre-irrad_5_141031/MeasurementNo00076.xls', 'Pre-irrad_5_141031/MeasurementNo00269.xls']
       S7_Position05       0050_3F11 ['Pre-irrad_5_141031/MeasurementNo00077.xls', 'Pre-irrad_5_141031/MeasurementNo00270.xls']
       S7_Position06       0052_3F12 ['Pre-irrad_5_141031/MeasurementNo00078.xls', 'Pre-irrad_5_141031/MeasurementNo00271.xls']
       S7_Position07           EMPTY ['Pre-irrad_5_141031/MeasurementNo00079.xls', 'Pre-irrad_5_141031/MeasurementNo00272.xls']
       S7_Position08       0050_4F11 ['Pre-irrad_5_141031/MeasurementNo00080.xls', 'Pre-irrad_5_141031/MeasurementNo00273.xls']
       S7_Position09       0052_4F12 ['Pre-irrad_5_141031/MeasurementNo00081.xls', 'Pre-irrad_5_141031/MeasurementNo00274.xls']
       S7_Position10       0100_1F22 ['Pre-irrad_5_141031/MeasurementNo00082.xls', 'Pre-irrad_5_141031/MeasurementNo00275.xls']
       S7_Position11       0102_1F21 ['Pre-irrad_5_141031/MeasurementNo00083.xls', 'Pre-irrad_5_141031/MeasurementNo00276.xls']
       S7_Position12       0100_2F22 ['Pre-irrad_5_141031/MeasurementNo00084.xls', 'Pre-irrad_5_141031/MeasurementNo00277.xls']
       S8_Position01       0102_2F21 ['Pre-irrad_5_141031/MeasurementNo00085.xls', 'Pre-irrad_5_141031/MeasurementNo00278.xls']
       S8_Position02       0100_3F22 ['Pre-irrad_5_141031/MeasurementNo00086.xls', 'Pre-irrad_5_141031/MeasurementNo00279.xls']
       S8_Position03       0102_3F21 ['Pre-irrad_5_141031/MeasurementNo00087.xls', 'Pre-irrad_5_141031/MeasurementNo00280.xls']
       S8_Position04       0100_4F22 ['Pre-irrad_5_141031/MeasurementNo00088.xls', 'Pre-irrad_5_141031/MeasurementNo00281.xls']
       S8_Position05       0102_4F21 ['Pre-irrad_5_141031/MeasurementNo00089.xls', 'Pre-irrad_5_141031/MeasurementNo00282.xls']
       S8_Position06       0140_1F31 ['Pre-irrad_5_141031/MeasurementNo00090.xls', 'Pre-irrad_5_141031/MeasurementNo00283.xls']
       S8_Position07       0142_1F26 ['Pre-irrad_5_141031/MeasurementNo00091.xls', 'Pre-irrad_5_141031/MeasurementNo00284.xls']
       S8_Position08           EMPTY ['Pre-irrad_5_141031/MeasurementNo00092.xls', 'Pre-irrad_5_141031/MeasurementNo00285.xls']
       S8_Position09       0140_2F31 ['Pre-irrad_5_141031/MeasurementNo00093.xls', 'Pre-irrad_5_141031/MeasurementNo00286.xls']
       S8_Position10       0142_2F26 ['Pre-irrad_5_141031/MeasurementNo00094.xls', 'Pre-irrad_5_141031/MeasurementNo00287.xls']
       S8_Position11       0140_3F31 ['Pre-irrad_5_141031/MeasurementNo00095.xls', 'Pre-irrad_5_141031/MeasurementNo00288.xls']
       S8_Position12       0142_3F26 ['Pre-irrad_5_141031/MeasurementNo00096.xls', 'Pre-irrad_5_141031/MeasurementNo00289.xls']
       S9_Position01       0140_4F31 ['Pre-irrad_5_141031/MeasurementNo00097.xls', 'Pre-irrad_5_141031/MeasurementNo00290.xls']
       S9_Position02       0142_4F26 ['Pre-irrad_5_141031/MeasurementNo00098.xls', 'Pre-irrad_5_141031/MeasurementNo00291.xls']
       S9_Position03       1000_1F36 ['Pre-irrad_5_141031/MeasurementNo00099.xls', 'Pre-irrad_5_141031/MeasurementNo00292.xls']
       S9_Position04       1002_1F32 ['Pre-irrad_5_141031/MeasurementNo00100.xls', 'Pre-irrad_5_141031/MeasurementNo00293.xls']
       S9_Position05       1000_2F36 ['Pre-irrad_5_141031/MeasurementNo00101.xls', 'Pre-irrad_5_141031/MeasurementNo00294.xls']
       S9_Position06       1002_2F32 ['Pre-irrad_5_141031/MeasurementNo00102.xls', 'Pre-irrad_5_141031/MeasurementNo00295.xls']
